age,weight,height,goal,calories,protein,carbs,fats
22,70,175,1,2500,120,320,70
25,80,180,2,3200,160,400,90
30,90,178,0,2200,180,180,60
21,65,170,1,2400,110,300,65
28,75,172,2,3000,150,380,85
19,55,165,0,1800,120,160,50
20,60,168,1,2200,105,280,60
23,68,174,1,2450,118,310,68
24,72,176,2,2900,145,360,80
26,78,179,2,3150,155,390,88
27,82,181,2,3300,165,410,92
29,85,183,1,2800,145,330,78
31,88,177,0,2250,185,190,62
32,92,185,2,3450,180,420,95
34,95,188,2,3600,190,440,100
35,98,186,1,2950,165,340,82
36,100,190,0,2400,200,200,65
38,105,192,2,3750,205,460,105
40,110,195,2,3900,220,480,110
42,115,193,1,3200,190,360,90
44,120,196,0,2600,220,210,70
18,50,160,0,1700,110,150,45
22,58,167,1,2150,100,270,58
24,63,171,1,2350,112,295,64
27,70,173,2,2850,140,350,78
30,76,175,1,2600,135,320,72
33,84,182,2,3250,170,405,90
37,90,184,1,2850,160,335,80
41,96,187,0,2450,195,205,66
45,102,189,1,3050,175,350,84
50,85,175,0,2150,175,175,58
52,78,170,1,2350,130,280,68
55,72,168,0,2000,145,170,55
58,68,166,1,2200,120,260,62
60,65,164,0,1900,130,160,50
62,70,167,1,2250,125,270,63
65,75,169,1,2300,128,275,64
