food,protein,carbs,fats,calories,unit
paneer,18,1.2,20,257,grams
rice,2.7,28,0.3,130,grams
roti,3.5,18,0.5,85,per piece
egg,6,0.6,5,78,per whole egg
soybean,52,33,0.5,345,grams
oats,16.9,66.3,6.9,389,grams
chicken breast,31,0,3.6,165,grams
milk,3.4,5,1,42,ml
banana,1.1,23,0.3,89,grams
apple,0.3,14,0.2,52,grams
dal,9,20,0.8,116,grams
rajma,8.7,22.8,0.5,127,grams
chickpeas,8.9,27.4,2.6,164,grams
peanut butter,25,20,50,588,grams
almonds,21.2,21.6,49.9,579,grams
curd,3.5,4.7,3.3,61,grams
sweet potato,1.6,20.1,0.1,86,grams
fish,22,0,5,145,grams
brown rice,2.6,23,0.9,111,grams
whey protein,80,8,6,400,grams
